"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02779V03348","County","C02199V02655","Sex","UNIT","VALUE"
"F1001C01","Population at Each Census","1841","1841","12","Wicklow","1","Male","Number","63489"
"F1001C01","Population at Each Census","1841","1841","12","Wicklow","2","Female","Number","62654"
"F1001C01","Population at Each Census","1841","1841","13","Clare","-","Both sexes","Number","286394"
"F1001C01","Population at Each Census","1841","1841","13","Clare","1","Male","Number","144109"
"F1001C01","Population at Each Census","1841","1841","13","Clare","2","Female","Number","142285"
"F1001C01","Population at Each Census","1841","1841","14","Cork","-","Both sexes","Number","854118"
"F1001C01","Population at Each Census","1841","1841","14","Cork","1","Male","Number","420551"
"F1001C01","Population at Each Census","1841","1841","14","Cork","2","Female","Number","433567"
"F1001C01","Population at Each Census","1841","1841","15","Kerry","-","Both sexes","Number","293880"
"F1001C01","Population at Each Census","1841","1841","15","Kerry","1","Male","Number","147307"
"F1001C01","Population at Each Census","1841","1841","15","Kerry","2","Female","Number","146573"
"F1001C01","Population at Each Census","1841","1841","16","Limerick","-","Both sexes","Number","330029"
"F1001C01","Population at Each Census","1841","1841","16","Limerick","1","Male","Number","161997"
"F1001C01","Population at Each Census","1841","1841","16","Limerick","2","Female","Number","168032"
"F1001C01","Population at Each Census","1841","1841","17","Tipperary","-","Both sexes","Number","435553"
"F1001C01","Population at Each Census","1841","1841","17","Tipperary","1","Male","Number","216650"
"F1001C01","Population at Each Census","1841","1841","17","Tipperary","2","Female","Number","218903"
"F1001C01","Population at Each Census","1841","1841","18","Waterford","-","Both sexes","Number","196187"
"F1001C01","Population at Each Census","1841","1841","18","Waterford","1","Male","Number","95576"
"F1001C01","Population at Each Census","1841","1841","18","Waterford","2","Female","Number","100611"
"F1001C01","Population at Each Census","1841","1841","19","Galway","-","Both sexes","Number","440198"
"F1001C01","Population at Each Census","1841","1841","19","Galway","1","Male","Number","219564"
"F1001C01","Population at Each Census","1841","1841","19","Galway","2","Female","Number","220634"
"F1001C01","Population at Each Census","1841","1841","20","Leitrim","-","Both sexes","Number","155297"
"F1001C01","Population at Each Census","1841","1841","20","Leitrim","1","Male","Number","77501"
"F1001C01","Population at Each Census","1841","1841","20","Leitrim","2","Female","Number","77796"
"F1001C01","Population at Each Census","1841","1841","21","Mayo","-","Both sexes","Number","388887"
"F1001C01","Population at Each Census","1841","1841","21","Mayo","1","Male","Number","194198"
"F1001C01","Population at Each Census","1841","1841","21","Mayo","2","Female","Number","194689"
"F1001C01","Population at Each Census","1841","1841","22","Roscommon","-","Both sexes","Number","253591"
"F1001C01","Population at Each Census","1841","1841","22","Roscommon","1","Male","Number","127016"
"F1001C01","Population at Each Census","1841","1841","22","Roscommon","2","Female","Number","126575"
"F1001C01","Population at Each Census","1841","1841","23","Sligo","-","Both sexes","Number","180886"
"F1001C01","Population at Each Census","1841","1841","23","Sligo","1","Male","Number","89563"
"F1001C01","Population at Each Census","1841","1841","23","Sligo","2","Female","Number","91323"
"F1001C01","Population at Each Census","1841","1841","24","Cavan","-","Both sexes","Number","243158"
"F1001C01","Population at Each Census","1841","1841","24","Cavan","1","Male","Number","120814"
"F1001C01","Population at Each Census","1841","1841","24","Cavan","2","Female","Number","122344"
"F1001C01","Population at Each Census","1841","1841","25","Donegal","-","Both sexes","Number","296448"
"F1001C01","Population at Each Census","1841","1841","25","Donegal","1","Male","Number","145821"
"F1001C01","Population at Each Census","1841","1841","25","Donegal","2","Female","Number","150627"
"F1001C01","Population at Each Census","1841","1841","26","Monaghan","-","Both sexes","Number","200442"
"F1001C01","Population at Each Census","1841","1841","26","Monaghan","1","Male","Number","98071"
"F1001C01","Population at Each Census","1841","1841","26","Monaghan","2","Female","Number","102371"
"F1001C01","Population at Each Census","1851","1851","-","State","-","Both sexes","Number","5111557"
"F1001C01","Population at Each Census","1851","1851","-","State","1","Male","Number","2494478"
"F1001C01","Population at Each Census","1851","1851","-","State","2","Female","Number","2617079"
"F1001C01","Population at Each Census","1851","1851","01","Carlow","-","Both sexes","Number","68078"
"F1001C01","Population at Each Census","1851","1851","01","Carlow","1","Male","Number","33016"
"F1001C01","Population at Each Census","1851","1851","01","Carlow","2","Female","Number","35062"
"F1001C01","Population at Each Census","1851","1851","02","Dublin","-","Both sexes","Number","405147"
"F1001C01","Population at Each Census","1851","1851","02","Dublin","1","Male","Number","187286"
"F1001C01","Population at Each Census","1851","1851","02","Dublin","2","Female","Number","217861"
"F1001C01","Population at Each Census","1851","1851","03","Kildare","-","Both sexes","Number","95723"
"F1001C01","Population at Each Census","1851","1851","03","Kildare","1","Male","Number","48528"
"F1001C01","Population at Each Census","1851","1851","03","Kildare","2","Female","Number","47195"
"F1001C01","Population at Each Census","1851","1851","04","Kilkenny","-","Both sexes","Number","158748"
"F1001C01","Population at Each Census","1851","1851","04","Kilkenny","1","Male","Number","76493"
"F1001C01","Population at Each Census","1851","1851","04","Kilkenny","2","Female","Number","82255"
"F1001C01","Population at Each Census","1851","1851","05","Laois","-","Both sexes","Number","111664"
"F1001C01","Population at Each Census","1851","1851","05","Laois","1","Male","Number","55556"
"F1001C01","Population at Each Census","1851","1851","05","Laois","2","Female","Number","56108"
"F1001C01","Population at Each Census","1851","1851","06","Longford","-","Both sexes","Number","82348"
"F1001C01","Population at Each Census","1851","1851","06","Longford","1","Male","Number","41041"
"F1001C01","Population at Each Census","1851","1851","06","Longford","2","Female","Number","41307"
"F1001C01","Population at Each Census","1851","1851","07","Louth","-","Both sexes","Number","107662"
"F1001C01","Population at Each Census","1851","1851","07","Louth","1","Male","Number","52257"
"F1001C01","Population at Each Census","1851","1851","07","Louth","2","Female","Number","55405"
"F1001C01","Population at Each Census","1851","1851","08","Meath","-","Both sexes","Number","140748"
"F1001C01","Population at Each Census","1851","1851","08","Meath","1","Male","Number","70813"
"F1001C01","Population at Each Census","1851","1851","08","Meath","2","Female","Number","69935"
"F1001C01","Population at Each Census","1851","1851","09","Offaly","-","Both sexes","Number","112076"
"F1001C01","Population at Each Census","1851","1851","09","Offaly","1","Male","Number","55284"
"F1001C01","Population at Each Census","1851","1851","09","Offaly","2","Female","Number","56792"
"F1001C01","Population at Each Census","1851","1851","10","Westmeath","-","Both sexes","Number","111407"
"F1001C01","Population at Each Census","1851","1851","10","Westmeath","1","Male","Number","56095"
"F1001C01","Population at Each Census","1851","1851","10","Westmeath","2","Female","Number","55312"
"F1001C01","Population at Each Census","1851","1851","11","Wexford","-","Both sexes","Number","180158"
"F1001C01","Population at Each Census","1851","1851","11","Wexford","1","Male","Number","86938"
"F1001C01","Population at Each Census","1851","1851","11","Wexford","2","Female","Number","93220"
"F1001C01","Population at Each Census","1851","1851","12","Wicklow","-","Both sexes","Number","98979"
"F1001C01","Population at Each Census","1851","1851","12","Wicklow","1","Male","Number","50230"
"F1001C01","Population at Each Census","1851","1851","12","Wicklow","2","Female","Number","48749"
"F1001C01","Population at Each Census","1851","1851","13","Clare","-","Both sexes","Number","212440"
"F1001C01","Population at Each Census","1851","1851","13","Clare","1","Male","Number","103953"
"F1001C01","Population at Each Census","1851","1851","13","Clare","2","Female","Number","108487"
"F1001C01","Population at Each Census","1851","1851","14","Cork","-","Both sexes","Number","649308"
"F1001C01","Population at Each Census","1851","1851","14","Cork","1","Male","Number","318149"
"F1001C01","Population at Each Census","1851","1851","14","Cork","2","Female","Number","331159"
"F1001C01","Population at Each Census","1851","1851","15","Kerry","-","Both sexes","Number","238254"
"F1001C01","Population at Each Census","1851","1851","15","Kerry","1","Male","Number","116511"
"F1001C01","Population at Each Census","1851","1851","15","Kerry","2","Female","Number","121743"
"F1001C01","Population at Each Census","1851","1851","16","Limerick","-","Both sexes","Number","262132"
"F1001C01","Population at Each Census","1851","1851","16","Limerick","1","Male","Number","127387"
"F1001C01","Population at Each Census","1851","1851","16","Limerick","2","Female","Number","134745"
"F1001C01","Population at Each Census","1851","1851","17","Tipperary","-","Both sexes","Number","331567"
"F1001C01","Population at Each Census","1851","1851","17","Tipperary","1","Male","Number","160024"
"F1001C01","Population at Each Census","1851","1851","17","Tipperary","2","Female","Number","171543"
"F1001C01","Population at Each Census","1851","1851","18","Waterford","-","Both sexes","Number","164035"
"F1001C01","Population at Each Census","1851","1851","18","Waterford","1","Male","Number","78955"
"F1001C01","Population at Each Census","1851","1851","18","Waterford","2","Female","Number","85080"
"F1001C01","Population at Each Census","1851","1851","19","Galway","-","Both sexes","Number","321684"
"F1001C01","Population at Each Census","1851","1851","19","Galway","1","Male","Number","157135"
"F1001C01","Population at Each Census","1851","1851","19","Galway","2","Female","Number","164549"
"F1001C01","Population at Each Census","1851","1851","20","Leitrim","-","Both sexes","Number","111897"
"F1001C01","Population at Each Census","1851","1851","20","Leitrim","1","Male","Number","56111"
"F1001C01","Population at Each Census","1851","1851","20","Leitrim","2","Female","Number","55786"
"F1001C01","Population at Each Census","1851","1851","21","Mayo","-","Both sexes","Number","274499"
"F1001C01","Population at Each Census","1851","1851","21","Mayo","1","Male","Number","133264"
"F1001C01","Population at Each Census","1851","1851","21","Mayo","2","Female","Number","141235"
"F1001C01","Population at Each Census","1851","1851","22","Roscommon","-","Both sexes","Number","173436"
"F1001C01","Population at Each Census","1851","1851","22","Roscommon","1","Male","Number","86411"
"F1001C01","Population at Each Census","1851","1851","22","Roscommon","2","Female","Number","87025"
"F1001C01","Population at Each Census","1851","1851","23","Sligo","-","Both sexes","Number","128515"
"F1001C01","Population at Each Census","1851","1851","23","Sligo","1","Male","Number","62881"
"F1001C01","Population at Each Census","1851","1851","23","Sligo","2","Female","Number","65634"
"F1001C01","Population at Each Census","1851","1851","24","Cavan","-","Both sexes","Number","174071"
"F1001C01","Population at Each Census","1851","1851","24","Cavan","1","Male","Number","86610"
"F1001C01","Population at Each Census","1851","1851","24","Cavan","2","Female","Number","87461"
"F1001C01","Population at Each Census","1851","1851","25","Donegal","-","Both sexes","Number","255158"
"F1001C01","Population at Each Census","1851","1851","25","Donegal","1","Male","Number","124723"
"F1001C01","Population at Each Census","1851","1851","25","Donegal","2","Female","Number","130435"
"F1001C01","Population at Each Census","1851","1851","26","Monaghan","-","Both sexes","Number","141823"
"F1001C01","Population at Each Census","1851","1851","26","Monaghan","1","Male","Number","68827"
"F1001C01","Population at Each Census","1851","1851","26","Monaghan","2","Female","Number","72996"
"F1001C01","Population at Each Census","1861","1861","-","State","-","Both sexes","Number","4402111"
"F1001C01","Population at Each Census","1861","1861","-","State","1","Male","Number","2169042"
"F1001C01","Population at Each Census","1861","1861","-","State","2","Female","Number","2233069"
"F1001C01","Population at Each Census","1861","1861","01","Carlow","-","Both sexes","Number","57137"
"F1001C01","Population at Each Census","1861","1861","01","Carlow","1","Male","Number","28139"
"F1001C01","Population at Each Census","1861","1861","01","Carlow","2","Female","Number","28998"
"F1001C01","Population at Each Census","1861","1861","02","Dublin","-","Both sexes","Number","410252"
"F1001C01","Population at Each Census","1861","1861","02","Dublin","1","Male","Number","191435"
"F1001C01","Population at Each Census","1861","1861","02","Dublin","2","Female","Number","218817"
"F1001C01","Population at Each Census","1861","1861","03","Kildare","-","Both sexes","Number","90946"
"F1001C01","Population at Each Census","1861","1861","03","Kildare","1","Male","Number","48960"
"F1001C01","Population at Each Census","1861","1861","03","Kildare","2","Female","Number","41986"
"F1001C01","Population at Each Census","1861","1861","04","Kilkenny","-","Both sexes","Number","124515"
"F1001C01","Population at Each Census","1861","1861","04","Kilkenny","1","Male","Number","60317"
"F1001C01","Population at Each Census","1861","1861","04","Kilkenny","2","Female","Number","64198"
"F1001C01","Population at Each Census","1861","1861","05","Laois","-","Both sexes","Number","90650"
"F1001C01","Population at Each Census","1861","1861","05","Laois","1","Male","Number","45112"
"F1001C01","Population at Each Census","1861","1861","05","Laois","2","Female","Number","45538"
"F1001C01","Population at Each Census","1861","1861","06","Longford","-","Both sexes","Number","71694"
"F1001C01","Population at Each Census","1861","1861","06","Longford","1","Male","Number","36044"
"F1001C01","Population at Each Census","1861","1861","06","Longford","2","Female","Number","35650"
"F1001C01","Population at Each Census","1861","1861","07","Louth","-","Both sexes","Number","90713"
"F1001C01","Population at Each Census","1861","1861","07","Louth","1","Male","Number","44241"
"F1001C01","Population at Each Census","1861","1861","07","Louth","2","Female","Number","46472"
"F1001C01","Population at Each Census","1861","1861","08","Meath","-","Both sexes","Number","110373"
"F1001C01","Population at Each Census","1861","1861","08","Meath","1","Male","Number","55800"
"F1001C01","Population at Each Census","1861","1861","08","Meath","2","Female","Number","54573"
"F1001C01","Population at Each Census","1861","1861","09","Offaly","-","Both sexes","Number","90043"
"F1001C01","Population at Each Census","1861","1861","09","Offaly","1","Male","Number","45513"
"F1001C01","Population at Each Census","1861","1861","09","Offaly","2","Female","Number","44530"
"F1001C01","Population at Each Census","1861","1861","10","Westmeath","-","Both sexes","Number","90879"
"F1001C01","Population at Each Census","1861","1861","10","Westmeath","1","Male","Number","46218"
"F1001C01","Population at Each Census","1861","1861","10","Westmeath","2","Female","Number","44661"
"F1001C01","Population at Each Census","1861","1861","11","Wexford","-","Both sexes","Number","143954"
"F1001C01","Population at Each Census","1861","1861","11","Wexford","1","Male","Number","69104"
"F1001C01","Population at Each Census","1861","1861","11","Wexford","2","Female","Number","74850"
"F1001C01","Population at Each Census","1861","1861","12","Wicklow","-","Both sexes","Number","86479"
"F1001C01","Population at Each Census","1861","1861","12","Wicklow","1","Male","Number","44122"
"F1001C01","Population at Each Census","1861","1861","12","Wicklow","2","Female","Number","42357"
"F1001C01","Population at Each Census","1861","1861","13","Clare","-","Both sexes","Number","166305"
"F1001C01","Population at Each Census","1861","1861","13","Clare","1","Male","Number","82541"
"F1001C01","Population at Each Census","1861","1861","13","Clare","2","Female","Number","83764"
"F1001C01","Population at Each Census","1861","1861","14","Cork","-","Both sexes","Number","544818"
"F1001C01","Population at Each Census","1861","1861","14","Cork","1","Male","Number","269637"
"F1001C01","Population at Each Census","1861","1861","14","Cork","2","Female","Number","275181"
"F1001C01","Population at Each Census","1861","1861","15","Kerry","-","Both sexes","Number","201800"
"F1001C01","Population at Each Census","1861","1861","15","Kerry","1","Male","Number","99999"
"F1001C01","Population at Each Census","1861","1861","15","Kerry","2","Female","Number","101801"
"F1001C01","Population at Each Census","1861","1861","16","Limerick","-","Both sexes","Number","217277"
"F1001C01","Population at Each Census","1861","1861","16","Limerick","1","Male","Number","105712"
"F1001C01","Population at Each Census","1861","1861","16","Limerick","2","Female","Number","111565"
"F1001C01","Population at Each Census","1861","1861","17","Tipperary","-","Both sexes","Number","249106"
"F1001C01","Population at Each Census","1861","1861","17","Tipperary","1","Male","Number","122483"
"F1001C01","Population at Each Census","1861","1861","17","Tipperary","2","Female","Number","126623"
"F1001C01","Population at Each Census","1861","1861","18","Waterford","-","Both sexes","Number","134252"
"F1001C01","Population at Each Census","1861","1861","18","Waterford","1","Male","Number","64310"
"F1001C01","Population at Each Census","1861","1861","18","Waterford","2","Female","Number","69942"
"F1001C01","Population at Each Census","1861","1861","19","Galway","-","Both sexes","Number","271478"
"F1001C01","Population at Each Census","1861","1861","19","Galway","1","Male","Number","134057"
"F1001C01","Population at Each Census","1861","1861","19","Galway","2","Female","Number","137421"
"F1001C01","Population at Each Census","1861","1861","20","Leitrim","-","Both sexes","Number","104744"
"F1001C01","Population at Each Census","1861","1861","20","Leitrim","1","Male","Number","52562"
"F1001C01","Population at Each Census","1861","1861","20","Leitrim","2","Female","Number","52182"
"F1001C01","Population at Each Census","1861","1861","21","Mayo","-","Both sexes","Number","254796"
"F1001C01","Population at Each Census","1861","1861","21","Mayo","1","Male","Number","125636"
"F1001C01","Population at Each Census","1861","1861","21","Mayo","2","Female","Number","129160"
"F1001C01","Population at Each Census","1861","1861","22","Roscommon","-","Both sexes","Number","157272"
"F1001C01","Population at Each Census","1861","1861","22","Roscommon","1","Male","Number","79841"
"F1001C01","Population at Each Census","1861","1861","22","Roscommon","2","Female","Number","77431"
"F1001C01","Population at Each Census","1861","1861","23","Sligo","-","Both sexes","Number","124845"
"F1001C01","Population at Each Census","1861","1861","23","Sligo","1","Male","Number","61939"
"F1001C01","Population at Each Census","1861","1861","23","Sligo","2","Female","Number","62906"
"F1001C01","Population at Each Census","1861","1861","24","Cavan","-","Both sexes","Number","153906"
"F1001C01","Population at Each Census","1861","1861","24","Cavan","1","Male","Number","77503"
"F1001C01","Population at Each Census","1861","1861","24","Cavan","2","Female","Number","76403"
"F1001C01","Population at Each Census","1861","1861","25","Donegal","-","Both sexes","Number","237395"
"F1001C01","Population at Each Census","1861","1861","25","Donegal","1","Male","Number","115875"
"F1001C01","Population at Each Census","1861","1861","25","Donegal","2","Female","Number","121520"
"F1001C01","Population at Each Census","1861","1861","26","Monaghan","-","Both sexes","Number","126482"
"F1001C01","Population at Each Census","1861","1861","26","Monaghan","1","Male","Number","61942"
"F1001C01","Population at Each Census","1861","1861","26","Monaghan","2","Female","Number","64540"
"F1001C01","Population at Each Census","1871","1871","-","State","-","Both sexes","Number","4053187"
"F1001C01","Population at Each Census","1871","1871","-","State","1","Male","Number","1992468"
"F1001C01","Population at Each Census","1871","1871","-","State","2","Female","Number","2060719"
"F1001C01","Population at Each Census","1871","1871","01","Carlow","-","Both sexes","Number","51650"
"F1001C01","Population at Each Census","1871","1871","01","Carlow","1","Male","Number","25464"
"F1001C01","Population at Each Census","1871","1871","01","Carlow","2","Female","Number","26186"
"F1001C01","Population at Each Census","1871","1871","02","Dublin","-","Both sexes","Number","405262"
"F1001C01","Population at Each Census","1871","1871","02","Dublin","1","Male","Number","188108"
"F1001C01","Population at Each Census","1871","1871","02","Dublin","2","Female","Number","217154"
"F1001C01","Population at Each Census","1871","1871","03","Kildare","-","Both sexes","Number","83614"
"F1001C01","Population at Each Census","1871","1871","03","Kildare","1","Male","Number","44946"
"F1001C01","Population at Each Census","1871","1871","03","Kildare","2","Female","Number","38668"
"F1001C01","Population at Each Census","1871","1871","04","Kilkenny","-","Both sexes","Number","109379"
"F1001C01","Population at Each Census","1871","1871","04","Kilkenny","1","Male","Number","52965"
"F1001C01","Population at Each Census","1871","1871","04","Kilkenny","2","Female","Number","56414"
"F1001C01","Population at Each Census","1871","1871","05","Laois","-","Both sexes","Number","79771"
"F1001C01","Population at Each Census","1871","1871","05","Laois","1","Male","Number","39843"
"F1001C01","Population at Each Census","1871","1871","05","Laois","2","Female","Number","39928"
"F1001C01","Population at Each Census","1871","1871","06","Longford","-","Both sexes","Number","64501"
"F1001C01","Population at Each Census","1871","1871","06","Longford","1","Male","Number","32512"
"F1001C01","Population at Each Census","1871","1871","06","Longford","2","Female","Number","31989"
"F1001C01","Population at Each Census","1871","1871","07","Louth","-","Both sexes","Number","84021"
"F1001C01","Population at Each Census","1871","1871","07","Louth","1","Male","Number","41033"
"F1001C01","Population at Each Census","1871","1871","07","Louth","2","Female","Number","42988"
"F1001C01","Population at Each Census","1871","1871","08","Meath","-","Both sexes","Number","95558"
"F1001C01","Population at Each Census","1871","1871","08","Meath","1","Male","Number","48437"
"F1001C01","Population at Each Census","1871","1871","08","Meath","2","Female","Number","47121"
"F1001C01","Population at Each Census","1871","1871","09","Offaly","-","Both sexes","Number","75900"
"F1001C01","Population at Each Census","1871","1871","09","Offaly","1","Male","Number","38307"
"F1001C01","Population at Each Census","1871","1871","09","Offaly","2","Female","Number","37593"
"F1001C01","Population at Each Census","1871","1871","10","Westmeath","-","Both sexes","Number","78432"
"F1001C01","Population at Each Census","1871","1871","10","Westmeath","1","Male","Number","39804"
"F1001C01","Population at Each Census","1871","1871","10","Westmeath","2","Female","Number","38628"
"F1001C01","Population at Each Census","1871","1871","11","Wexford","-","Both sexes","Number","132666"
"F1001C01","Population at Each Census","1871","1871","11","Wexford","1","Male","Number","64199"
"F1001C01","Population at Each Census","1871","1871","11","Wexford","2","Female","Number","68467"
"F1001C01","Population at Each Census","1871","1871","12","Wicklow","-","Both sexes","Number","78697"
"F1001C01","Population at Each Census","1871","1871","12","Wicklow","1","Male","Number","39496"
"F1001C01","Population at Each Census","1871","1871","12","Wicklow","2","Female","Number","39201"
"F1001C01","Population at Each Census","1871","1871","13","Clare","-","Both sexes","Number","147864"
"F1001C01","Population at Each Census","1871","1871","13","Clare","1","Male","Number","73442"
"F1001C01","Population at Each Census","1871","1871","13","Clare","2","Female","Number","74422"
"F1001C01","Population at Each Census","1871","1871","14","Cork","-","Both sexes","Number","517076"
"F1001C01","Population at Each Census","1871","1871","14","Cork","1","Male","Number","256062"
"F1001C01","Population at Each Census","1871","1871","14","Cork","2","Female","Number","261014"
"F1001C01","Population at Each Census","1871","1871","15","Kerry","-","Both sexes","Number","196586"
"F1001C01","Population at Each Census","1871","1871","15","Kerry","1","Male","Number","97913"
"F1001C01","Population at Each Census","1871","1871","15","Kerry","2","Female","Number","98673"
"F1001C01","Population at Each Census","1871","1871","16","Limerick","-","Both sexes","Number","191936"
"F1001C01","Population at Each Census","1871","1871","16","Limerick","1","Male","Number","93112"
"F1001C01","Population at Each Census","1871","1871","16","Limerick","2","Female","Number","98824"
"F1001C01","Population at Each Census","1871","1871","17","Tipperary","-","Both sexes","Number","216713"
"F1001C01","Population at Each Census","1871","1871","17","Tipperary","1","Male","Number","106499"
"F1001C01","Population at Each Census","1871","1871","17","Tipperary","2","Female","Number","110214"
"F1001C01","Population at Each Census","1871","1871","18","Waterford","-","Both sexes","Number","123310"
"F1001C01","Population at Each Census","1871","1871","18","Waterford","1","Male","Number","59078"
"F1001C01","Population at Each Census","1871","1871","18","Waterford","2","Female","Number","64232"
"F1001C01","Population at Each Census","1871","1871","19","Galway","-","Both sexes","Number","248458"
"F1001C01","Population at Each Census","1871","1871","19","Galway","1","Male","Number","122496"
"F1001C01","Population at Each Census","1871","1871","19","Galway","2","Female","Number","125962"
"F1001C01","Population at Each Census","1871","1871","20","Leitrim","-","Both sexes","Number","95562"
"F1001C01","Population at Each Census","1871","1871","20","Leitrim","1","Male","Number","47724"
"F1001C01","Population at Each Census","1871","1871","20","Leitrim","2","Female","Number","47838"
"F1001C01","Population at Each Census","1871","1871","21","Mayo","-","Both sexes","Number","246030"
"F1001C01","Population at Each Census","1871","1871","21","Mayo","1","Male","Number","120877"
"F1001C01","Population at Each Census","1871","1871","21","Mayo","2","Female","Number","125153"
"F1001C01","Population at Each Census","1871","1871","22","Roscommon","-","Both sexes","Number","140670"
"F1001C01","Population at Each Census","1871","1871","22","Roscommon","1","Male","Number","70647"
"F1001C01","Population at Each Census","1871","1871","22","Roscommon","2","Female","Number","70023"
"F1001C01","Population at Each Census","1871","1871","23","Sligo","-","Both sexes","Number","115493"
"F1001C01","Population at Each Census","1871","1871","23","Sligo","1","Male","Number","56984"
"F1001C01","Population at Each Census","1871","1871","23","Sligo","2","Female","Number","58509"
"F1001C01","Population at Each Census","1871","1871","24","Cavan","-","Both sexes","Number","140735"
"F1001C01","Population at Each Census","1871","1871","24","Cavan","1","Male","Number","70479"
"F1001C01","Population at Each Census","1871","1871","24","Cavan","2","Female","Number","70256"
"F1001C01","Population at Each Census","1871","1871","25","Donegal","-","Both sexes","Number","218334"
"F1001C01","Population at Each Census","1871","1871","25","Donegal","1","Male","Number","106080"
"F1001C01","Population at Each Census","1871","1871","25","Donegal","2","Female","Number","112254"
"F1001C01","Population at Each Census","1871","1871","26","Monaghan","-","Both sexes","Number","114969"
"F1001C01","Population at Each Census","1871","1871","26","Monaghan","1","Male","Number","55961"
"F1001C01","Population at Each Census","1871","1871","26","Monaghan","2","Female","Number","59008"
"F1001C01","Population at Each Census","1881","1881","-","State","-","Both sexes","Number","3870020"
"F1001C01","Population at Each Census","1881","1881","-","State","1","Male","Number","1912438"
"F1001C01","Population at Each Census","1881","1881","-","State","2","Female","Number","1957582"
"F1001C01","Population at Each Census","1881","1881","01","Carlow","-","Both sexes","Number","46568"
"F1001C01","Population at Each Census","1881","1881","01","Carlow","1","Male","Number","23078"
"F1001C01","Population at Each Census","1881","1881","01","Carlow","2","Female","Number","23490"
"F1001C01","Population at Each Census","1881","1881","02","Dublin","-","Both sexes","Number","418910"
"F1001C01","Population at Each Census","1881","1881","02","Dublin","1","Male","Number","197740"
"F1001C01","Population at Each Census","1881","1881","02","Dublin","2","Female","Number","221170"
"F1001C01","Population at Each Census","1881","1881","03","Kildare","-","Both sexes","Number","75804"
"F1001C01","Population at Each Census","1881","1881","03","Kildare","1","Male","Number","40701"
"F1001C01","Population at Each Census","1881","1881","03","Kildare","2","Female","Number","35103"
"F1001C01","Population at Each Census","1881","1881","04","Kilkenny","-","Both sexes","Number","99531"
"F1001C01","Population at Each Census","1881","1881","04","Kilkenny","1","Male","Number","48971"
